0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,Label
-9.848946227094311e-06,6.578126149851959e-06,2.943353776304362e-07,-1.1312697208508979e-05,-1.0400472303549774e-05,-7.1472340574268726e-06,-5.838709071116988e-06,6.809841764775543e-06,-6.416858683913361e-06,5.874856680315754e-06,7.605297675577856e-06,-1.0365469738167178e-06,-7.947664764349929e-07,1.081383708943278e-07,-1.7106457329681576e-05,-8.691855125236727e-06,1.1051453530580304e-05,3.5288659369833433e-06,-1.4891613831072541e-05,-1.3724433667084354e-05,-8.233623948858095e-06,1.0264506101161756e-05,6.609972578231481e-08,-3.7625747234795266e-06,-1.3142036352246285e-05,-2.180838630815425e-05,-7.446720755968852e-06,9.540429941851038e-07,-8.987293155417698e-06,-1.6995235092563393e-06,-2.740892819228747e-06,-9.201825255832988e-07,2.3113428686897667e-06,1.4501956462835564e-05,7.804778711686991e-06,-5.530342660682831e-06,1.1733301864387252e-05,-2.0110019353191e-06,-1.1255383755059107e-05,1.343766318234135e-05,-1.0379246636533162e-05,-4.288135964168535e-06,6.794866306548109e-06,-4.123754982876411e-07,2.260153621765319e-05,-6.374215168136652e-08,-1.3322989845800436e-05,5.081594977100862e-06,-7.961969989769665e-06,5.852534451598912e-06,1.1364936924135643e-05,-1.2243184946692158e-06,9.21797736258052e-06,-4.05138599828557e-06,-3.293625511899512e-06,2.883162814518083e-06,7.713780612163178e-06,7.971745085456456e-06,-1.1439825850862271e-06,-1.2435884294374819e-05,4.940384974583538e-07,9.92887717783597e-06,1.7103821143220737e-05,1.1554316945191858e-05,-1.17637800140495e-05,4.904298486185057e-06,-2.314282633198644e-06,-1.3376525698018913e-05,7.136341522868429e-06,-8.27151464415656e-06,2.6715682412323427e-06,-4.659458687714788e-06,-9.455220305234155e-06,1.1239470340056453e-05,-1.3073398749323506e-05,-1.8813202834682782e-06,2.483952573163356e-06,1.3644696045266671e-05,9.241070242619542e-06,-2.2545481447977482e-06,-6.275383334586691e-06,1.8052423629815973e-06,1.1884730087505443e-05,6.90225056112178e-06,-8.985856904603057e-06,5.353719674505495e-06,1.0335748126530727e-05,-1.0317962158966821e-05,-4.151462603623576e-06,-1.9013520813480073e-05,-1.616161856488242e-05,1.3559277240045791e-05,1.7273171067022868e-05,2.9138108741173973e-06,8.527461689512159e-07,4.052985260309351e-06,1.0
-3.4478779143766156e-06,9.284618191227625e-06,-3.300924701831924e-06,-1.6863160200989272e-05,-8.660234049451085e-06,7.09448248178528e-06,-6.388915429444106e-06,7.105795672949809e-06,-1.9191514658362378e-05,-1.7111100485118154e-05,1.9132658863167277e-09,-1.1770990273158341e-06,-4.672694627834652e-06,-1.1464432383879876e-05,-2.373881988903245e-06,-1.8206997139974792e-06,-4.760173307168149e-06,-1.3033361026744072e-05,1.0173007349930029e-05,7.764558490130616e-06,-2.7845336894362604e-06,-7.803350547033315e-06,-1.548335248006991e-05,1.087752501694553e-06,1.546675966489491e-06,-3.5440630398419698e-06,-7.542139686759463e-06,1.0057683653595397e-05,-5.524375851514459e-07,-1.6397424139559312e-05,2.5082172807800407e-06,-6.058873103027333e-06,-1.6138551647465404e-06,-1.0074778210736729e-07,1.6236101397203933e-06,2.4234268953650274e-06,2.6993826987366193e-06,3.257300457291926e-06,1.0454476551744982e-05,6.581364147391674e-06,-3.5808573689427217e-06,5.904536389143558e-08,3.976288610797301e-06,-6.173840668106509e-06,-6.514307874817848e-06,9.99628787287725e-08,2.281872949262776e-06,-6.597924913199082e-06,5.404432786173391e-06,-9.958849049449391e-06,4.6499163182089565e-06,2.023676828782723e-06,-2.6241230192105116e-06,2.6619570458941026e-06,-9.324531512021374e-06,-5.423686076960353e-06,-1.4103783860698184e-06,-7.957034016519417e-06,-5.129116493187205e-06,8.391891735735351e-07,7.087358460421173e-06,5.495696310609633e-06,-2.0284964809657005e-07,-1.9597657880612077e-06,3.2117304221725187e-06,2.366036915094548e-06,1.57725242522756e-05,-1.9695151012643314e-06,-1.0392570036632505e-05,-8.114030253937675e-06,-1.3144621563206187e-06,2.1074455952206235e-06,-8.301536487174955e-06,-8.215851273746798e-06,-1.1219515150324886e-05,-1.1188368710870456e-05,-2.765978006310713e-06,-3.7889139337806636e-06,2.1369449374351578e-06,4.4744793348969485e-06,1.9717455970554652e-06,1.7044538561211383e-06,1.5967031131784585e-06,-2.266608284998973e-06,-1.0147197581981213e-06,-2.231780490051097e-06,-1.178183492898023e-05,6.509497846909686e-07,3.694172463253631e-06,5.738455766661017e-06,4.004702182685289e-06,-6.122111764639256e-06,7.331484620145367e-06,1.0006856717032018e-05,9.030747757357039e-06,3.7286412538993624e-06,1.0
-5.186720148458645e-06,-2.230123734882678e-06,-9.998349174017387e-06,3.491287121854398e-06,7.720681332723927e-06,1.2238778363154564e-06,-2.8938855910510275e-07,5.431553746177821e-06,3.833091844354985e-06,-6.160590618220496e-06,3.128905177586813e-07,-1.5745883965655813e-05,-1.9050971288637703e-06,-7.154610730121351e-06,2.2089488441347577e-06,5.562824007899853e-06,-6.767839684204371e-07,-1.2607102136049092e-06,-3.4239609550036275e-06,-1.163622373196805e-06,-3.32785288393305e-06,6.780047156365844e-06,1.0316701171524816e-05,-7.265643608437225e-06,-1.315875154084759e-06,-8.036522890327822e-07,3.4983435822194226e-06,-9.46983756724208e-06,-5.876418298084861e-06,-2.6095657928678043e-06,-4.7970465028134535e-06,-3.6540737927370585e-06,-5.610624141620003e-06,-1.1286519830537375e-05,8.349355485222309e-06,2.306975096627976e-06,-6.650261198403562e-07,1.79362390315321e-06,5.1624622190008584e-06,6.352491303066915e-06,9.435492386616326e-07,1.5226268361926256e-06,-3.81624177242264e-06,-3.2795866370364343e-06,1.3990285819270357e-06,-5.563148665073824e-06,-5.781843578880006e-06,1.7423988286508834e-06,1.6026411059783566e-06,2.184658746928517e-06,-4.155633367968493e-06,4.460822348193589e-06,-6.883553870020429e-06,-2.8134778248943307e-06,2.7826315664749847e-07,6.558808332515973e-07,7.313739985935219e-06,-5.7432788502970314e-06,7.076975482339173e-07,4.428177962495092e-06,-9.853104087061412e-06,-2.0418304005160843e-06,1.253418134016045e-05,1.2890664307311509e-05,-2.4292643503726596e-06,-6.118796209879337e-06,-5.6984276429751675e-06,-3.4234380970951063e-06,-2.3598381691752394e-06,-4.465806842973796e-06,4.743174145810305e-06,2.67648858639155e-07,2.244635291181049e-06,-1.4708238350159167e-06,-3.3969734431122536e-06,-3.0453691034454533e-06,2.2409472287029766e-06,-6.839104649538019e-07,-3.451371388212316e-06,-5.411342728393047e-06,4.719822257508664e-06,3.3000630869881475e-06,1.0254170848466177e-05,3.712028604361095e-07,5.139556339312441e-06,-2.4605357235788933e-06,4.66896972087394e-06,-2.794480939340623e-06,2.1091164968406005e-06,-2.4386649464728713e-07,-4.882494367754464e-06,-9.362970735861074e-06,-6.080704933705596e-06,-7.067298595881307e-06,4.632026081979474e-06,2.8968233702894225e-06,1.0
3.930796586621506e-06,-5.465374465570392e-06,4.074602809731614e-06,5.834684255960192e-06,-1.0874285945870333e-05,1.7420091967605873e-05,1.902460371613251e-05,5.503834841212321e-06,1.2319907206116158e-05,-5.789421942130398e-06,-1.2967308180572861e-05,-1.1498038766309838e-05,-1.7288040906155126e-05,8.041515535465615e-06,-1.2934505749496072e-05,2.76511664790029e-06,9.662676926138258e-07,-1.4280990579079089e-05,-6.07158527740303e-06,-5.723959963051524e-07,9.244483138201279e-06,5.028500304536895e-06,9.761346993019841e-06,-1.4598524646846433e-06,1.5117950382779562e-05,2.0914512236530815e-06,3.5618793230026718e-06,4.156662639972607e-06,-2.1069651024798807e-06,1.943277929040181e-06,6.578495359000587e-06,3.1281817412624774e-06,-2.7054559521870775e-06,8.676163170052698e-08,-2.7704493629068634e-06,1.2507333095117067e-05,1.6779665313446589e-06,8.530865653604523e-06,1.1779981292471341e-05,1.0615271886216295e-05,3.2679187344497297e-06,-5.3420549098610444e-06,-6.615982944497592e-06,-6.743681149035548e-06,-5.013276791561501e-06,5.724052119098643e-06,-4.063651808300684e-06,8.868197915795322e-06,9.519157829907717e-06,-7.157627467499257e-06,-5.2739334884944554e-06,8.790162647034876e-06,2.503971754642142e-06,-3.10651756172245e-06,7.470096636771009e-06,8.021526952421597e-06,-9.908713853783073e-08,7.384983127634566e-07,-7.639831637450454e-06,5.1706815088730535e-06,-6.471281460284219e-07,1.0586286007667694e-05,-1.19091308262074e-06,-1.0326782780832763e-06,-7.360988574738456e-06,7.207576469512393e-06,1.059334990182025e-05,-1.2467981670121281e-06,-3.2343314096364614e-06,4.305424948920483e-06,1.0647402588683764e-05,-4.782773052205086e-07,-8.344941220459484e-06,1.2453180662826668e-06,-1.643578200874321e-06,2.714565003594748e-06,2.297997642435128e-06,3.027726450007646e-06,1.4928955156627712e-06,-3.0843898372042285e-06,-1.8083014362028415e-05,2.237953400161018e-06,3.7381500674079907e-06,-1.0960665077338117e-05,6.3842962592761e-07,-2.753250648004666e-07,-9.49435601322779e-08,1.951961182683642e-06,6.910486049416262e-06,-1.6574057003218827e-05,-1.07137534470022e-05,3.961477619078053e-06,1.0225393067803323e-05,-3.5200020239048696e-06,1.8962478565738656e-06,-6.858669528027879e-06,1.0
2.8044941988884566e-06,5.107603846982681e-06,9.435875688827946e-06,7.154778071950462e-06,2.273322609473927e-06,-1.3621282338649138e-05,9.956533895544412e-06,-1.5611207225338502e-05,-9.245832827538475e-06,-2.9006826915999344e-06,-1.3576363598360813e-05,5.23977086355436e-06,-2.492694297721233e-06,4.0021403664125155e-06,6.838700565883987e-06,3.103067976202811e-06,-8.28173173983024e-07,-8.748955684991168e-06,-5.543637861029504e-06,-1.8972670824235394e-06,-8.312340836526108e-07,2.970386580510806e-06,3.898949174817297e-06,6.5695752611541554e-06,8.574833890003832e-07,-1.51451091315359e-05,-4.261094722573287e-06,-5.976195834730865e-06,5.747987833218753e-06,1.9573674254971e-06,-8.498366932965063e-07,-3.9770774344416433e-07,4.745463392820053e-06,1.076533733597543e-06,1.4960097287992043e-07,1.041282601970571e-06,7.101753772022962e-07,-1.3401343596823203e-06,9.097655151553371e-07,7.047577823485665e-07,-1.0554492804235383e-05,-6.079547733695834e-07,6.62675209750601e-06,-8.302098967426806e-06,-1.4714419199599924e-05,-5.631539446867911e-06,-4.302178395224319e-06,2.600831445252011e-06,1.189744618650639e-05,1.7165323789735622e-06,-7.492751937206348e-06,-6.357607402808446e-06,6.929344070859501e-06,-9.139073336744538e-06,-1.1732212993443404e-06,-1.2290436448192504e-05,-9.957212947202047e-06,1.0638383519992076e-05,-1.0112712367318604e-05,1.4755164011463637e-06,-5.42186876807469e-06,6.382333498681703e-06,7.561581391542414e-06,-1.2226849845712506e-05,1.5601119521054697e-05,-8.068694631459177e-06,2.0514470185910402e-05,-8.818495729942948e-06,-1.0334581065327124e-05,7.790326965774127e-07,2.62603802907025e-06,2.8600589750413707e-06,-1.4720092199508717e-05,6.175737726976161e-06,-4.259222806954381e-06,3.5561333894889765e-06,9.752343657869281e-06,-2.0218066487113813e-06,4.361896624494756e-07,9.077093096510059e-06,-4.394408572879598e-06,4.304180971446224e-06,2.617370162866964e-06,4.063749787389836e-06,2.1694281384012447e-06,-1.3645880650902004e-05,-1.101668998019373e-05,5.576055770084372e-06,2.7049348316578396e-06,-3.770058075433179e-06,-8.10386234543161e-06,-1.5512235341042728e-06,-3.898642161222617e-06,-3.0682165473572617e-06,-2.015722395138309e-06,7.487280096529094e-06,1.0
8.598717221898533e-06,8.07607301976995e-06,8.739918029679455e-06,4.456856306953727e-06,-1.1636058158893903e-06,8.948886204890926e-07,-4.481796538607516e-06,-7.2149814956865234e-06,-9.935002111391955e-06,-2.1786215344969074e-06,3.7445805474505537e-06,-2.568361312820277e-06,5.949791033795593e-06,5.24081438238272e-06,-5.882273430742009e-06,-5.947020989015374e-06,1.853508182304289e-05,5.888989727698626e-06,4.406353654085784e-06,-1.3241263781008347e-05,-5.623667027511067e-06,2.1743581524948812e-05,4.988853284063035e-06,-3.698696255242589e-06,1.915724660419206e-06,1.6759649066905384e-06,-3.6637307134604222e-06,5.979946091800083e-06,-5.050237863816675e-06,-2.5552822991116827e-06,2.1795211330556047e-06,1.2587926298838943e-05,-2.173777088815059e-06,3.7505879868583417e-06,2.2747636564888974e-06,-3.7681967819205896e-07,1.5584583051621723e-06,-5.6457726487333375e-06,7.051576392212315e-06,-4.429570241941794e-06,-2.0714756907866925e-06,-3.624406766290375e-06,3.483637779841014e-06,-4.077940920424977e-06,5.343942791002462e-07,-6.764900380587871e-07,1.8135477384750273e-06,-4.5436131572121214e-07,6.2487967511371575e-06,1.1382224071489044e-06,4.009144681157576e-06,1.0210741876456493e-05,-2.9100571361637298e-08,2.5017846770875986e-06,-1.8759756897811074e-06,3.5235178116352283e-06,-3.125748894690937e-06,-5.20709361172528e-06,-5.903083556568484e-06,2.5221168943821343e-06,-1.154570947233985e-06,-2.4728810459781475e-06,-1.074807547886586e-05,1.2469732705680236e-06,2.984743452799489e-07,2.246248893702924e-06,5.650097591909597e-06,-8.593900361324273e-07,7.59332774267033e-06,6.720401358456372e-06,5.091073361922896e-06,-3.3601306582000877e-06,1.7699325680065058e-06,-1.0880405362430011e-06,3.9898791602226175e-06,1.0829613747799447e-05,-1.1181773382162754e-05,-2.522482339196266e-06,-6.3232859970224955e-06,-7.019568956055514e-06,4.906086183042116e-06,-1.6078053696832574e-06,-8.348503942802773e-07,-3.0536618468885392e-06,2.7187342245839847e-06,-9.097432901357225e-06,-3.6590519301162592e-06,-1.486460593221724e-05,4.058743288655007e-06,-3.4960756596634493e-06,-6.815042446742812e-06,-1.0747588392004343e-05,1.5261804269053296e-06,-2.1687236809303526e-06,3.3377091076879647e-06,-5.131795560531991e-06,1.0
1.6014390484824996e-06,-1.4338916935990803e-06,-6.1513053678466556e-06,-5.6141681758423055e-06,1.162382129114889e-05,-1.366981768266545e-06,1.5845294145512258e-06,4.736773420319822e-06,1.0329691812424061e-05,3.4420716967934097e-06,-7.519310571176879e-07,7.809798341773644e-06,5.3925251150255476e-06,-7.019419603142281e-06,-1.195849622349166e-06,-3.602115723589921e-06,-2.0136195976325417e-06,-6.118092660358522e-06,1.6557419237231798e-05,-2.456789401817742e-06,-1.126991710802806e-05,4.28462005540778e-06,-2.351227429120356e-06,-1.1994655036710839e-05,-7.404122140621487e-07,5.959894500936395e-06,-7.251336443439766e-06,-1.7023827370681137e-06,-2.7549393547064957e-06,-5.841948164862185e-06,-7.21357719692442e-06,1.0650258134782324e-06,7.652047898961297e-06,1.8415536657279577e-06,1.080829061350025e-06,5.19527958637726e-06,1.3721727044699384e-06,5.512670367971693e-06,2.2807698205908047e-06,1.2303429085650041e-06,8.008434730939083e-06,9.37147233880341e-06,1.7624664880327858e-07,-1.050293839516639e-06,-1.3190448789521554e-06,-3.217652708561911e-06,-5.714657214274622e-06,1.2191068143571178e-06,-3.114901858229599e-06,-1.3387154217100035e-06,5.711080514386717e-06,3.83228661738315e-07,-1.394075075677165e-05,-5.500865477945098e-06,1.2129134264505003e-05,7.198565815257745e-06,-3.2877985711382414e-06,8.619031019477626e-07,-1.1823686452788436e-06,-1.9791515812247903e-06,-3.833920578095778e-06,-5.343156469223015e-06,-8.912046520233548e-06,-5.650127822160799e-07,9.754299191797347e-07,-7.613543085442915e-06,1.3610768085548904e-06,-2.6800773014053147e-06,3.3246137115736626e-06,2.871834087531978e-06,-3.049118708716889e-06,-3.7741979998935468e-06,-6.867748772901583e-06,-1.622613738687668e-06,7.188647974849331e-06,-6.083734635449359e-06,4.7680861081385705e-06,2.192095184542925e-06,3.203564545860405e-07,2.3509328070407704e-07,1.0881200346652552e-07,1.4100145165427243e-05,9.828365271777453e-06,3.837664285750403e-06,9.657182076116455e-06,-2.1016734744747563e-06,1.1202434685785548e-05,1.4438750468631563e-07,3.2231653964508402e-06,-2.6652587187043885e-08,1.0836763336575306e-05,7.156793358249692e-06,-9.586856745523114e-06,3.013971848614384e-06,-3.492086293828094e-07,-1.2667798023266848e-06,1.0
-4.093502991912694e-06,-5.895619140015037e-06,-3.7371830777589164e-06,-2.919505720212087e-06,9.451737813626187e-06,1.572220743605141e-05,-7.237249389799678e-06,4.345616324215907e-06,-1.428452732449134e-06,-5.231053799764424e-06,-4.994573586915016e-06,-2.6870955482832936e-06,-4.114250246489934e-06,-3.2148563875742127e-06,3.1850580831758304e-06,1.030335235487232e-05,7.445274702004997e-07,-2.1674209772586563e-06,1.352784237713854e-06,-3.4961713290491733e-07,4.003538047540004e-06,-4.020480385816475e-06,-1.3187470064360869e-06,-7.599620983081729e-06,-7.571325823071126e-06,6.97114045653581e-06,1.195132897021359e-05,-5.546117039552705e-06,3.1703263657809506e-06,-5.436844613876584e-06,1.4105673112493413e-06,6.649762300946434e-06,8.319499632263274e-06,-1.913722292886904e-06,-5.313701901084373e-06,1.2130752364048282e-06,3.373538957734567e-06,1.4997463352960072e-07,5.876883176438599e-06,-6.822899124686208e-06,3.4179974084131374e-06,4.320417587629802e-07,-1.6884243680254223e-06,7.444386129460649e-06,3.849057327645949e-06,5.304469811770665e-06,6.245886297762996e-06,-3.1598114659888358e-06,-5.70383019727643e-06,-1.6451875819842688e-07,-3.293198242603893e-06,2.348172266081093e-06,-4.038097785895843e-06,4.717656279558736e-07,-4.456726252707333e-06,1.5575390037640298e-07,-2.7866134877546396e-07,1.573082735880616e-06,4.2025847461134026e-07,7.969582356141735e-06,4.324450089720051e-06,5.958924780844277e-06,-1.7902245080189648e-06,3.881186838130119e-06,1.877492312487736e-06,5.194256207840214e-06,-3.7687484806710933e-06,2.4710283345347618e-06,5.512674113385828e-06,-2.098922066737425e-06,6.167299153265986e-06,-3.056778876607798e-06,3.058177120434291e-06,8.980941603605476e-06,1.187696317440413e-05,-3.483213405066915e-07,-4.90906218548469e-06,7.483422773163997e-06,2.755537766166532e-06,-1.1666759224218055e-05,1.2430174580790176e-05,-2.633990814487196e-07,-6.910439902268151e-06,8.424396628984059e-06,2.376727681685379e-06,-2.38924816358574e-08,-1.369912129848712e-06,8.212082826719454e-06,-2.2312176280660007e-06,-5.807273847507227e-06,-1.4904024685037955e-06,1.0600250152595724e-05,3.4486314948188993e-07,-4.276907556374411e-06,-3.3074529299365486e-06,-2.080996716494864e-06,1.0
-4.830455254206148e-06,-1.5165281164955182e-06,3.6138036721886137e-06,1.5270614145770287e-06,-6.114014558243933e-06,-2.2051765206814634e-06,-5.867320284661795e-06,-8.82759258847376e-06,-9.80368927760783e-07,3.250450230107579e-06,-5.644445929941946e-06,3.8752301389508254e-06,-1.4075883745100591e-05,-1.9649549351287985e-07,-7.885454079575279e-07,-4.640770975345377e-06,-8.256945663139249e-06,3.529560648029783e-06,-8.018355897468951e-06,-4.7339592298569036e-06,-3.0625285683479736e-06,-4.545360058417174e-08,-2.6902572392507216e-06,1.7152070196719219e-06,-4.405087379109241e-06,-1.6320527431742315e-06,-2.5398221845180723e-06,-4.7544177460192004e-07,-1.342954785337712e-06,-1.4481961914997971e-05,5.107592443129127e-07,-1.0969669441319847e-05,1.3892498606956315e-06,-7.822674189706414e-06,-5.281998609062843e-06,2.2825598913118727e-06,6.2283052036370345e-06,-1.963765583654783e-06,-3.568531542994733e-06,-6.626907110082901e-06,1.31064400322973e-06,3.880635021139305e-06,-1.249723170963881e-05,-2.9525647667779547e-06,-4.882192601616925e-06,1.2684540760130437e-06,2.4960839974867238e-06,-2.8556336927008012e-06,-1.399109136546873e-05,8.33960657940501e-06,9.815226957030157e-06,-4.55925755483876e-06,-1.7432661755116114e-06,-2.5717308593312213e-06,1.1011697405327773e-05,5.2841264118930795e-06,-2.850214255903065e-07,-9.754756818074029e-06,1.4449393093195492e-06,1.6213654778459384e-06,-1.919830002734358e-06,-5.26532922990373e-06,-1.3808967405020204e-06,3.4841143500709695e-06,-6.0243568147664154e-06,-4.763485347046892e-06,-8.297742438890838e-06,1.7424973070926367e-06,4.584348441555769e-06,-3.6662972597105635e-06,-3.543374939542666e-06,1.9018118537238515e-06,-6.902558172119232e-06,3.073483283018698e-06,-5.204068643484879e-06,6.5696260141179615e-06,-1.979759416131171e-06,9.626784865300072e-06,4.1881204731094034e-06,-1.3324830977283924e-06,-1.3492603981109624e-06,5.263491116406923e-06,-4.4021721892405936e-06,3.61849241775486e-06,-1.7180468175616834e-06,2.3608778809838363e-06,-6.005368788496798e-06,-2.7401899293765094e-06,7.538557738168971e-07,-1.5390893127573635e-06,2.4119450715723917e-06,-5.50284216098828e-07,-8.33042698952095e-06,-1.7594993464099862e-06,-3.033319567238739e-06,4.767368289903666e-06,1.0
3.2016607723666494e-06,7.942685151634197e-06,-1.0629991254354458e-05,-6.277270874148379e-06,8.03455767235034e-06,-1.719689034651815e-06,6.488471474212285e-06,-4.331767983748981e-07,-7.607768961896801e-08,1.0211830650698704e-06,-8.612348964688797e-06,7.830802359206622e-06,1.1052491466077015e-05,-2.5254581767479603e-06,-2.1709644104313946e-06,5.4912353050395485e-06,-8.869851651891927e-06,-3.492691905949279e-07,-1.6443344771996464e-06,-2.9698302963390475e-06,3.3271219871787516e-06,8.514380965870661e-06,9.932635254509346e-06,-8.670966684163878e-06,3.876780138644732e-06,1.963680626965884e-06,2.9798557954459026e-06,-7.806571801125268e-08,-8.288777404926479e-06,-6.005320291377642e-09,-2.020685905863403e-06,6.047649477105086e-06,3.5810301153074024e-06,3.856259770277614e-06,-8.682948758343875e-07,-2.400799255967771e-07,-3.1647591169850744e-07,-2.713021560423093e-06,-2.5535139237752545e-06,-6.6671007405755545e-06,2.9519661749574286e-06,2.9481381823489765e-07,5.945125665475835e-06,-3.820164027132211e-06,-1.9351281392225986e-06,-5.069704489268084e-06,1.247057816001109e-06,-3.2868826248187165e-06,7.179194105190997e-06,-5.450668182304563e-06,-4.810060091577229e-06,5.4954619011448595e-06,3.1677099543126154e-06,-7.755011126857017e-07,-1.6466280451539601e-06,5.005475553918151e-06,5.731838345437174e-06,-3.0801025357896443e-06,-1.3324622261455568e-06,2.225252172046953e-06,-2.863995529641307e-06,-3.759700015705805e-07,-2.2787474547109947e-06,-4.57456368061463e-06,4.3413226625658274e-07,1.859078433217735e-06,3.179071317704882e-06,-4.4484451247353875e-06,-7.649412443610925e-06,6.115818224450057e-06,-1.8916704955204444e-06,2.0667670586811613e-07,-8.861497524824802e-06,5.594356772558436e-06,6.63549425165018e-06,8.21377340360883e-06,-1.2156548733458043e-07,4.317102001758545e-06,-5.467783753464524e-06,2.7752141392452524e-08,9.475508124643498e-07,-2.6944690923924807e-06,-3.460348253774542e-06,2.4968568170474886e-06,8.467143614485935e-06,-3.291306375006678e-06,-7.762068416707356e-06,9.084002196604962e-06,-3.819963781494279e-06,-3.30746074227382e-06,-8.098813987099867e-06,-2.5391537740945924e-06,6.395740114437736e-06,-6.663699834932071e-06,-5.123306788802305e-06,-5.899507436577616e-06,1.0
