Fecha_Hora,Participante,Fitness,Num_Features,Indices,Algoritmo,Sol_per_Pop,Num_Generations,Mutation_Pct,Weight_Factor
2026-01-28 13:11:48,S01,0.7592,27,"1,2,3,4,10,20,22,28,30,31,32,38,43,46,49,55,60,61,68,69,71,73,74,75,80,81,90",Genético (PyGAD),70,50,10,0.5
2026-01-28 13:14:38,S02,0.8347,27,"0,7,14,23,31,32,34,36,39,42,46,54,56,59,61,64,65,66,69,72,76,78,80,81,84,87,90",Genético (PyGAD),70,50,10,0.5
